Nome Esercizio,Variante,URL YouTube,F/A,Movement Pattern,Bicipiti,Core,Deltoidi Anteriori,Deltoidi Posteriori,Deltoidi Laterali,Femorali,Glutei,Pettorali,Polpacci,Quadricipiti,Trapezi,Tricipiti,Erettori,Adduttori,
Pull Trough Cavo Alto,,,A,Hip Hinge,,0.5,,,,1,1,,,,,,1,0.5,
Leg Curl ,"fermo 2"" in basso; eccentrica 3""; 1""/1""/1""; 2""/2""/2""",https://www.youtube.com/watch?v=YjALIwiPW-M&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=40,A,Hip Hinge,,,,,,1,,,,,,,,,
Leg Curl Monolaterale,"fermo 2"" in basso; eccentrica 3""; 1""/1""/1""; 2""/2""/2""",,A,Hip Hinge,,,,,,1,,,,,,,,,
Nordic Curl,"fermo 2"" in basso; eccentrica 3""; 1""/1""/1""; 2""/2""/2""",,A,Hip Hinge,,,,,,1,,,,,,,,,
Revers Hyper,controllata; oscillazione marcata;,,A,Hip Hinge,,,,,,1,0.8,,,,,,,,
Ipersestensioni Ghd ,"2"" in contrazione di picco; discesa 3"";",,A,Hip Hinge,,,,,,1,0.8,,,,,,,,
Good Morning High Bar,"discesa 3""; pin; deloading; overloading ; fermo 1"" in max stretch; focus femorale; focus gluteo",https://www.youtube.com/watch?v=UQZUy_x_U9M&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=52,A,Hip Hinge,,,,,,1,0.8,,,,,,1,,
Good Morning Safety Bar,"discesa 3""; pin; deloading; overloading ; fermo 1"" in max stretch; focus femorale; focus gluteo",,A,Hip Hinge,,,,,,1,0.8,,,,,,1,,
Ponte a terra con bilanciere,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; esplosivo",,A,Hip Hinge,,,,,,,1,,,,,,,,
Hip Thrust Bilanciere,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; esplosivo",https://www.youtube.com/watch?v=NmDkgFdT5l8&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=45,A,Hip Hinge,,,,,,,1,,,,,,,,
Hip Thrust Multipower,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; esplosivo",https://www.youtube.com/watch?v=lyJ0MNf95jg&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=44,A,Hip Hinge,,,,,,,1,,,,,,,,
Hip Thrust Machine,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; esplosivo",https://www.youtube.com/watch?v=lyJ0MNf95jg&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=44,A,Hip Hinge,,,,,,,1,,,,,,,,
Ponte a terra con manubrio,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; esplosivo",,A,Hip Hinge,,,,,,,1,,,,,,,,
Swing con kettlbell ,,,A,Hip Hinge,,,,,,0.8,1,,,,,,,,
Panca ,"fermo 1""; fermo 3""; fermo 5""; discesa 3""; discesa 5""; 3""/3""; 5""/5""; salita 3""; spoto pres; overaloding; deloading; caos 30%; full caos; pin; board 4cm; board alta; catene",https://www.youtube.com/watch?v=uMpwfacViL0&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=54,F,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Panca Cambered Bar,"fermo 1""; fermo 3""; fermo 5""; discesa 3""; discesa 5""; 3""/3""; 5""/5""; salita 3""; spoto pres; overaloding; deloading; caos 30%; full caos; pin; board 4cm; board alta; catene",,F,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Panca Bow Bar,"fermo 1""; fermo 3""; fermo 5""; discesa 3""; discesa 5""; 3""/3""; 5""/5""; salita 3""; spoto pres; overaloding; deloading; caos 30%; full caos; pin; board 4cm; board alta; catene",,F,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Panca Presa Stretta,"fermo 1""; fermo 3""; fermo 5""; discesa 3""; discesa 5""; 3""/3""; 5""/5""; salita 3""; spoto pres; overaloding; deloading; caos 30%; full caos; pin; board 4cm; board alta; catene",https://www.youtube.com/watch?v=FTV-bD7gVkQ&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=24,F,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
